# Force coefficients
# liftDir    : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis  : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf    : 1.500000e+00
# lRef       : 1.000000e+00
# Aref       : 1.000000e-01
# CofR       : (2.500000e-01 0.000000e+00 0.000000e+00)
# Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r)        
1            	-1.631562e+01	4.619790e+01	1.000570e+01	-1.131277e+01	2.131847e+01
2            	-1.341891e+01	1.836663e+01	3.245814e+00	-1.179600e+01	1.504182e+01
3            	-1.287121e-01	-1.390199e+01	-6.262775e+00	-3.260100e+00	-3.002676e+00
4            	7.232374e+00	-1.005357e+01	-6.677359e+00	3.893695e+00	-1.057105e+01
5            	5.853882e+00	-5.849717e-02	-2.844968e-01	5.711634e+00	-5.996131e+00
6            	8.819824e-01	2.076360e+00	6.087113e+00	3.925539e+00	2.161574e+00
7            	-2.240386e+00	1.224761e+00	6.674067e+00	1.096648e+00	5.577419e+00
8            	-2.241977e+00	8.185567e-01	1.519769e+00	-1.482092e+00	3.001861e+00
9            	-8.127147e-01	6.341617e-01	-3.091650e+00	-2.358540e+00	-7.331104e-01
10           	4.788758e-01	-1.589911e-01	-4.274303e+00	-1.658276e+00	-2.616028e+00
11           	6.582728e-01	-2.926146e-01	-1.882050e+00	-2.827524e-01	-1.599298e+00
12           	2.428921e-01	-6.699624e-02	1.291887e+00	8.888358e-01	4.030516e-01
13           	-2.430278e-01	4.427181e-01	2.530846e+00	1.022395e+00	1.508451e+00
14           	-3.815215e-01	6.046386e-01	1.485088e+00	3.610225e-01	1.124065e+00
15           	-2.367684e-01	3.102193e-01	-3.868785e-01	-4.302076e-01	4.332914e-02
16           	-2.921322e-02	2.139386e-02	-1.083775e+00	-5.711008e-01	-5.126744e-01
17           	8.366139e-02	-8.307322e-02	-6.845124e-01	-2.585948e-01	-4.259176e-01
18           	7.863420e-02	4.701991e-02	2.401486e-01	1.987085e-01	4.144009e-02
19           	-6.361694e-03	1.816852e-01	7.278226e-01	3.575496e-01	3.702730e-01
20           	-6.509230e-02	2.074382e-01	6.102412e-01	2.400283e-01	3.702129e-01
21           	-8.728450e-02	1.719243e-01	2.107436e-01	1.808727e-02	1.926563e-01
22           	-5.512805e-02	1.161673e-01	-1.240880e-01	-1.171721e-01	-6.915946e-03
23           	-2.388033e-02	1.204940e-01	-1.366122e-01	-9.218643e-02	-4.442577e-02
24           	-7.834601e-03	1.301459e-01	2.976301e-02	7.046901e-03	2.271610e-02
25           	-1.882398e-02	1.344196e-01	1.880997e-01	7.522589e-02	1.128739e-01
26           	-4.281781e-02	1.264288e-01	2.256534e-01	7.000891e-02	1.556445e-01
27           	-5.219441e-02	1.115827e-01	1.659837e-01	3.079745e-02	1.351863e-01
28           	-4.338955e-02	1.054744e-01	9.558762e-02	4.404259e-03	9.118337e-02
29           	-2.813536e-02	1.116884e-01	6.898500e-02	6.357145e-03	6.262786e-02
30           	-1.998895e-02	1.161353e-01	8.326614e-02	2.164412e-02	6.162202e-02
31           	-2.245880e-02	1.150717e-01	1.152913e-01	3.518685e-02	8.010445e-02
32           	-2.954681e-02	1.078127e-01	1.352346e-01	3.807047e-02	9.716409e-02
33           	-3.405109e-02	1.007607e-01	1.315119e-01	3.170484e-02	9.980702e-02
34           	-3.177273e-02	9.651139e-02	1.153569e-01	2.590573e-02	8.945120e-02
35           	-2.612751e-02	9.866313e-02	1.043131e-01	2.602904e-02	7.828406e-02
36           	-2.257209e-02	1.031055e-01	1.044797e-01	2.966775e-02	7.481193e-02
37           	-2.276249e-02	1.031963e-01	1.135923e-01	3.403363e-02	7.955862e-02
38           	-2.503565e-02	9.921184e-02	1.203791e-01	3.515388e-02	8.522519e-02
39           	-2.652119e-02	9.307356e-02	1.208434e-01	3.390050e-02	8.694289e-02
40           	-2.566234e-02	9.076263e-02	1.125500e-01	3.061266e-02	8.193734e-02
41           	-2.355364e-02	9.121666e-02	1.065013e-01	2.969699e-02	7.680427e-02
42           	-2.197792e-02	9.153267e-02	1.068259e-01	3.143504e-02	7.539088e-02
43           	-2.168452e-02	9.205364e-02	1.116409e-01	3.413591e-02	7.750496e-02
44           	-2.226699e-02	8.970341e-02	1.162390e-01	3.585249e-02	8.038646e-02
45           	-2.256616e-02	8.736691e-02	1.171704e-01	3.601903e-02	8.115134e-02
46           	-2.206251e-02	8.599652e-02	1.143947e-01	3.513482e-02	7.925983e-02
47           	-2.106201e-02	8.501862e-02	1.105127e-01	3.419434e-02	7.631836e-02
48           	-2.032243e-02	8.380407e-02	1.088370e-01	3.409606e-02	7.474092e-02
49           	-2.002730e-02	8.369616e-02	1.089335e-01	3.443943e-02	7.449404e-02
50           	-1.999535e-02	8.311707e-02	1.106892e-01	3.534926e-02	7.533997e-02
51           	-1.997742e-02	8.197300e-02	1.122083e-01	3.612670e-02	7.608155e-02
52           	-1.971013e-02	8.062402e-02	1.126358e-01	3.660775e-02	7.602801e-02
53           	-1.921716e-02	7.954501e-02	1.122616e-01	3.691366e-02	7.534798e-02
54           	-1.864203e-02	7.869378e-02	1.114338e-01	3.707487e-02	7.435893e-02
55           	-1.822907e-02	7.804747e-02	1.099790e-01	3.676042e-02	7.321856e-02
56           	-1.807314e-02	7.761646e-02	1.100739e-01	3.696383e-02	7.311011e-02
57           	-1.799578e-02	7.697937e-02	1.102819e-01	3.714515e-02	7.313670e-02
58           	-1.786313e-02	7.592552e-02	1.103227e-01	3.729822e-02	7.302448e-02
59           	-1.759432e-02	7.522232e-02	1.103211e-01	3.756623e-02	7.275487e-02
60           	-1.719979e-02	7.431221e-02	1.100307e-01	3.781558e-02	7.221515e-02
61           	-1.689810e-02	7.384171e-02	1.101476e-01	3.817569e-02	7.197189e-02
62           	-1.668393e-02	7.332829e-02	1.101785e-01	3.840532e-02	7.177318e-02
63           	-1.651843e-02	7.262452e-02	1.098247e-01	3.839393e-02	7.143079e-02
64           	-1.636698e-02	7.200250e-02	1.093622e-01	3.831410e-02	7.104806e-02
65           	-1.617668e-02	7.154649e-02	1.092810e-01	3.846380e-02	7.081716e-02
66           	-1.593695e-02	7.079177e-02	1.090880e-01	3.860707e-02	7.048096e-02
67           	-1.569626e-02	7.014959e-02	1.089403e-01	3.877391e-02	7.016642e-02
68           	-1.549850e-02	6.969293e-02	1.088844e-01	3.894370e-02	6.994070e-02
69           	-1.533188e-02	6.924433e-02	1.089056e-01	3.912093e-02	6.978469e-02
70           	-1.518361e-02	6.876406e-02	1.088845e-01	3.925865e-02	6.962587e-02
71           	-1.504641e-02	6.835274e-02	1.089664e-01	3.943677e-02	6.952960e-02
72           	-1.487608e-02	6.784540e-02	1.087728e-01	3.951034e-02	6.926250e-02
73           	-1.468045e-02	6.727310e-02	1.084363e-01	3.953772e-02	6.889861e-02
74           	-1.449547e-02	6.675332e-02	1.080946e-01	3.955183e-02	6.854277e-02
75           	-1.430658e-02	6.616515e-02	1.076165e-01	3.950166e-02	6.811483e-02
76           	-1.419775e-02	6.589894e-02	1.076862e-01	3.964537e-02	6.804086e-02
77           	-1.405983e-02	6.549185e-02	1.077001e-01	3.979022e-02	6.790988e-02
78           	-1.392115e-02	6.509031e-02	1.077065e-01	3.993209e-02	6.777439e-02
79           	-1.380595e-02	6.478572e-02	1.077837e-01	4.008588e-02	6.769778e-02
80           	-1.363914e-02	6.425568e-02	1.074914e-01	4.010658e-02	6.738486e-02
81           	-1.349514e-02	6.386571e-02	1.072612e-01	4.013547e-02	6.712575e-02
82           	-1.338408e-02	6.357233e-02	1.072863e-01	4.025905e-02	6.702721e-02
83           	-1.325630e-02	6.315912e-02	1.070901e-01	4.028873e-02	6.680132e-02
84           	-1.314883e-02	6.284260e-02	1.070767e-01	4.038952e-02	6.668718e-02
85           	-1.301323e-02	6.242817e-02	1.067765e-01	4.037501e-02	6.640146e-02
86           	-1.290466e-02	6.214021e-02	1.067494e-01	4.047005e-02	6.627938e-02
87           	-1.279492e-02	6.181373e-02	1.066702e-01	4.054018e-02	6.613001e-02
88           	-1.268094e-02	6.146470e-02	1.065327e-01	4.058538e-02	6.594727e-02
89           	-1.253861e-02	6.106556e-02	1.062010e-01	4.056189e-02	6.563910e-02
90           	-1.243929e-02	6.082333e-02	1.062051e-01	4.066325e-02	6.554183e-02
91           	-1.233859e-02	6.051352e-02	1.061232e-01	4.072301e-02	6.540018e-02
92           	-1.225684e-02	6.026645e-02	1.061725e-01	4.082943e-02	6.534311e-02
93           	-1.217255e-02	5.998092e-02	1.061703e-01	4.091261e-02	6.525771e-02
94           	-1.207665e-02	5.966633e-02	1.060917e-01	4.096918e-02	6.512249e-02
95           	-1.194645e-02	5.929929e-02	1.058111e-01	4.095909e-02	6.485200e-02
96           	-1.185434e-02	5.908038e-02	1.057825e-01	4.103690e-02	6.474559e-02
97           	-1.177546e-02	5.884487e-02	1.057404e-01	4.109473e-02	6.464565e-02
98           	-1.170448e-02	5.859114e-02	1.056710e-01	4.113100e-02	6.453997e-02
99           	-1.162920e-02	5.833114e-02	1.055947e-01	4.116814e-02	6.442654e-02
100          	-1.154435e-02	5.806494e-02	1.055326e-01	4.122195e-02	6.431064e-02
101          	-1.145515e-02	5.779979e-02	1.054901e-01	4.128991e-02	6.420021e-02
102          	-1.137006e-02	5.754882e-02	1.054583e-01	4.135910e-02	6.409923e-02
103          	-1.129351e-02	5.731554e-02	1.054283e-01	4.142062e-02	6.400765e-02
104          	-1.122509e-02	5.709404e-02	1.054001e-01	4.147495e-02	6.392514e-02
105          	-1.116138e-02	5.687611e-02	1.053793e-01	4.152826e-02	6.385103e-02
106          	-1.109851e-02	5.665588e-02	1.053695e-01	4.158623e-02	6.378324e-02
107          	-1.103442e-02	5.643233e-02	1.053686e-01	4.164990e-02	6.371873e-02
108          	-1.096955e-02	5.620923e-02	1.053717e-01	4.171629e-02	6.365539e-02
109          	-1.090581e-02	5.599168e-02	1.053762e-01	4.178229e-02	6.359391e-02
110          	-1.084488e-02	5.578232e-02	1.053823e-01	4.184628e-02	6.353603e-02
111          	-1.078761e-02	5.558049e-02	1.053908e-01	4.190779e-02	6.348301e-02
112          	-1.073408e-02	5.538362e-02	1.054034e-01	4.196760e-02	6.343576e-02
113          	-1.068412e-02	5.518906e-02	1.054259e-01	4.202882e-02	6.339706e-02
114          	-1.063646e-02	5.499558e-02	1.054614e-01	4.209426e-02	6.336719e-02
115          	-1.058948e-02	5.480371e-02	1.055074e-01	4.216420e-02	6.334317e-02
116          	-1.054235e-02	5.461490e-02	1.055575e-01	4.223638e-02	6.332108e-02
117          	-1.049553e-02	5.443022e-02	1.056071e-01	4.230802e-02	6.329908e-02
118          	-1.045033e-02	5.424984e-02	1.056563e-01	4.237783e-02	6.327848e-02
119          	-1.040813e-02	5.407323e-02	1.057106e-01	4.244719e-02	6.326345e-02
120          	-1.037014e-02	5.389983e-02	1.057800e-01	4.251984e-02	6.326012e-02
121          	-1.033601e-02	5.372891e-02	1.058670e-01	4.259749e-02	6.326950e-02
122          	-1.031635e-02	5.356254e-02	1.060356e-01	4.270146e-02	6.333415e-02
123          	-1.028647e-02	5.339475e-02	1.061363e-01	4.278168e-02	6.335461e-02
124          	-1.024839e-02	5.322943e-02	1.061829e-01	4.284305e-02	6.333983e-02
125          	-1.022158e-02	5.306996e-02	1.062937e-01	4.292528e-02	6.336845e-02
126          	-1.019616e-02	5.291244e-02	1.064090e-01	4.300837e-02	6.340068e-02
127          	-1.017323e-02	5.275656e-02	1.065252e-01	4.308939e-02	6.343585e-02
128          	-1.014908e-02	5.260340e-02	1.066247e-01	4.316329e-02	6.346145e-02
129          	-1.013115e-02	5.245294e-02	1.067591e-01	4.324839e-02	6.351069e-02
130          	-1.011252e-02	5.230389e-02	1.068926e-01	4.333375e-02	6.355880e-02
131          	-1.009865e-02	5.215757e-02	1.070559e-01	4.342931e-02	6.362661e-02
132          	-1.008264e-02	5.201314e-02	1.072041e-01	4.351940e-02	6.368467e-02
133          	-1.007030e-02	5.187122e-02	1.073679e-01	4.361365e-02	6.375424e-02
134          	-1.005581e-02	5.173061e-02	1.075104e-01	4.369937e-02	6.381099e-02
135          	-1.004457e-02	5.159207e-02	1.076636e-01	4.378722e-02	6.387636e-02
136          	-1.003157e-02	5.145465e-02	1.077982e-01	4.386754e-02	6.393067e-02
137          	-1.002151e-02	5.131918e-02	1.079453e-01	4.395111e-02	6.399414e-02
138          	-1.000955e-02	5.118464e-02	1.080761e-01	4.402849e-02	6.404758e-02
139          	-9.996175e-03	5.105180e-02	1.081976e-01	4.410262e-02	6.409497e-02
140          	-9.989396e-03	5.092157e-02	1.083611e-01	4.419117e-02	6.416996e-02
141          	-9.982329e-03	5.079237e-02	1.085176e-01	4.427646e-02	6.424111e-02
142          	-9.973545e-03	5.066459e-02	1.086575e-01	4.435521e-02	6.430230e-02
143          	-9.966070e-03	5.053833e-02	1.088037e-01	4.443577e-02	6.436791e-02
144          	-9.961164e-03	5.041367e-02	1.089659e-01	4.452177e-02	6.444410e-02
145          	-9.958159e-03	5.029073e-02	1.091391e-01	4.461141e-02	6.452773e-02
146          	-9.955926e-03	5.016942e-02	1.093147e-01	4.470144e-02	6.461329e-02
147          	-9.953614e-03	5.004944e-02	1.094856e-01	4.478916e-02	6.469639e-02
148          	-9.950769e-03	4.993059e-02	1.096473e-01	4.487291e-02	6.477444e-02
149          	-9.947285e-03	4.981275e-02	1.097988e-01	4.495212e-02	6.484669e-02
150          	-9.943284e-03	4.969588e-02	1.099411e-01	4.502726e-02	6.491383e-02
151          	-9.938952e-03	4.957998e-02	1.100765e-01	4.509932e-02	6.497722e-02
152          	-9.934404e-03	4.946512e-02	1.102072e-01	4.516922e-02	6.503802e-02
153          	-9.929635e-03	4.935137e-02	1.103341e-01	4.523740e-02	6.509667e-02
154          	-9.924579e-03	4.923870e-02	1.104569e-01	4.530388e-02	6.515303e-02
155          	-9.919277e-03	4.912704e-02	1.105759e-01	4.536868e-02	6.520723e-02
156          	-9.914011e-03	4.901639e-02	1.106927e-01	4.543236e-02	6.526038e-02
157          	-9.908946e-03	4.890672e-02	1.108081e-01	4.549509e-02	6.531298e-02
158          	-9.905230e-03	4.879801e-02	1.109277e-01	4.555861e-02	6.536907e-02
159          	-9.899762e-03	4.869003e-02	1.110325e-01	4.561650e-02	6.541603e-02
160          	-9.894027e-03	4.858253e-02	1.111363e-01	4.567410e-02	6.546216e-02
161          	-9.889644e-03	4.847554e-02	1.112465e-01	4.573359e-02	6.551288e-02
162          	-9.884554e-03	4.836966e-02	1.113499e-01	4.579040e-02	6.555951e-02
163          	-9.878661e-03	4.826441e-02	1.114453e-01	4.584396e-02	6.560129e-02
164          	-9.871967e-03	4.815958e-02	1.115334e-01	4.589475e-02	6.563869e-02
165          	-9.865841e-03	4.805512e-02	1.116211e-01	4.594471e-02	6.567639e-02
166          	-9.857973e-03	4.795101e-02	1.116952e-01	4.598961e-02	6.570555e-02
167          	-9.852750e-03	4.784809e-02	1.117804e-01	4.603744e-02	6.574294e-02
168          	-9.848936e-03	4.774582e-02	1.118733e-01	4.608772e-02	6.578559e-02
169          	-9.845275e-03	4.764376e-02	1.119665e-01	4.613798e-02	6.582853e-02
170          	-9.840416e-03	4.754234e-02	1.120514e-01	4.618530e-02	6.586613e-02
171          	-9.835361e-03	4.744141e-02	1.121342e-01	4.623172e-02	6.590244e-02
172          	-9.829521e-03	4.734094e-02	1.122108e-01	4.627586e-02	6.593490e-02
173          	-9.823451e-03	4.724075e-02	1.122844e-01	4.631876e-02	6.596566e-02
174          	-9.817751e-03	4.714090e-02	1.123565e-01	4.636050e-02	6.599600e-02
175          	-9.812450e-03	4.704164e-02	1.124261e-01	4.640058e-02	6.602548e-02
176          	-9.807490e-03	4.694303e-02	1.124938e-01	4.643939e-02	6.605437e-02
177          	-9.802972e-03	4.684501e-02	1.125620e-01	4.647802e-02	6.608397e-02
178          	-9.799021e-03	4.674762e-02	1.126325e-01	4.651723e-02	6.611527e-02
179          	-9.795592e-03	4.665087e-02	1.127051e-01	4.655695e-02	6.614814e-02
180          	-9.792485e-03	4.655473e-02	1.127781e-01	4.659654e-02	6.618151e-02
